Category,Project name ,Website,X (Twitter),Discord,Github,Module address
DeFi,Amnis Finance ,https://amnis.finance/,@AmnisFinance,https://dsc.gg/amnisfinance,https://github.com/amnis-finance,https://aptscan.ai/accounts/0x111ae3e5bc816a5e63c2da97d0aa3886519e0cd5e4b046659fa35796bd11542a#modules
DeFi,Econia Labs,https://www.econialabs.com/,@EconiaLabs,https://discord.com/invite/Z7gXcMgX8A,https://github.com/econia-labs/econia,https://aptscan.ai/accounts/0xc0deb00c405f84c85dc13442e305df75d1288100cdd82675695f6148c7ece51c#modules
DeFi,Thala Labs,https://www.thala.fi/,@ThalaLabs,https://discord.gg/thala,https://github.com/ThalaLabs,https://aptscan.ai/accounts/0x48271d39d0b05bd6efca2278f22277d6fcc375504f9839fd73f74ace240861af#modules
DeFi,Merkle Trade,https://merkle.trade/,@Merkle_Trade,https://discord.gg/uV2A5nSpng,https://github.com/merkle-trade,https://aptscan.ai/accounts/0x5ae6789dd2fec1a9ec9cccfb3acaf12e93d432f0a3a42c92fe1a9d490b7bbc06#modules
DeFi,Hippo Labs,https://hippo.space/home,@hippolabs__,https://discord.com/invite/6RCDYRgrTr,https://github.com/hippospace,https://aptscan.ai/accounts/0x890812a6bbe27dd59188ade3bbdbe40a544e6e104319b7ebc6617d3eb947ac07#modules
NFT Tooling,Indexer,https://www.indexer.xyz/,@indexer_xyz,https://discord.com/invite/En7Rpyucjn,,
NFT Tooling,NFTScan,https://aptos.nftscan.com/,@nftscan_com,https://discord.com/invite/nftscan,https://github.com/nftscan-official,
Gaming,Werewolf vs Witch,https://werewolfandwitch.xyz/,@AWW_xyz,https://discord.com/invite/VBaDgzQ926,https://github.com/werewolfandwitch/aptos-werewolfandwitch,
Gaming,Aptos Arena ,https://play.aptosarena.xyz/,@PlayAptosArena,https://discord.gg/aptosarena,,
Wallets,Petra,https://petra.app/,@PetraWallet,https://discord.com/invite/petrawallet,https://github.com/aptos-labs/petra-wallet,
Wallets,Pontem Wallet,https://pontem.network/,@PontemNetwork,https://discord.gg/44QgPFHYqs,https://github.com/pontem-network,
Wallets,Fewcha,https://fewcha.app/,@FewchaWallet,https://discord.com/invite/fewcha,https://github.com/fewcha-wallet,
Wallets,Martian Wallet,https://martianwallet.xyz/,@martian_wallet,https://discord.com/invite/martianwallet,,
Tooling,Aptos Name Service,https://www.aptosnames.com/,@aptosnames,https://discord.com/invite/aptosnames,https://github.com/aptos-labs,
Tooling,Move Developers DAO,https://movedevelopers.com/,@MoveBuilders,https://discord.com/invite/AVr5u59tXs,https://github.com/movedevelopersdao,
Tooling,Aptools.io ,https://aptools.xyz/,@aptools_io,https://discord.com/invite/5kchxMmKFy,https://github.com/aptools-io,
Stablecoins,Thala Labs,https://www.thala.fi/,@ThalaLabs,https://discord.gg/thala,https://github.com/ThalaLabs,https://aptscan.ai/accounts/0x48271d39d0b05bd6efca2278f22277d6fcc375504f9839fd73f74ace240861af#modules
Security,OtterSec,https://osec.io/ ,@osec_io,,https://github.com/otter-sec,
Security,Zellic,https://www.zellic.io/,@zellic_io,,https://github.com/Zellic,
Marketplaces,Topaz,https://www.topaz.so/,@TopazMarket,https://discord.com/invite/SWVxuJkFSH,,https://aptscan.ai/accounts/0x2c7bccf7b31baf770fdbcc768d9e9cb3d87805e255355df5db32ac9a669010a2#modules
Marketplaces,BlueMove,https://bluemove.net/,@BlueMove_OA,https://discord.com/invite/bluemove,,https://aptscan.ai/accounts/0xd520d8669b0a3de23119898dcdff3e0a27910db247663646ad18cf16e44c6f5#modules
Marketplaces,Wapal,https://wapal.io/,@wapal_official,https://discord.com/invite/CBRmXKHXyt,,https://aptscan.ai/accounts/0x584b50b999c78ade62f8359c91b5165ff390338d45f8e55969a04e65d76258c9#modules
Marketplaces,Mercato,https://www.mercato.xyz/?tab=trending,@Mercato_xyz,http://discord.gg/6DDVNE3YDu,,https://aptscan.ai/accounts/0xe11c12ec495f3989c35e1c6a0af414451223305b579291fc8f3d9d0575a23c26#modules
Launchpads,Aptopad,https://www.aptopad.io/,@aptopad_io,https://discord.gg/7unpSXBS,https://github.com/Aptopad-io,
Infra,Pyth Network ,https://pyth.network/,@PythNetwork,https://discord.com/invite/PythNetwork,https://github.com/pyth-network,https://aptscan.ai/accounts/0x7e783b349d3e89cf5931af376ebeadbfab855b3fa239b7ada8f5a92fbea6b387#modules
Infra,Mokshya Protocol,https://mokshya.io/,@MokshyaProtocol,https://discord.com/invite/U9RkTGfU6Y,https://github.com/mokshyaprotocol,https://aptscan.ai/accounts/0xb2bad458173e8b15d653a4fa1bee43317b6f52cba75ad4201c0f6fa2048514cc#modules
Infra,Switchboard,https://switchboard.xyz/,@switchboardxyz,https://discord.com/invite/switchboardxyz,https://github.com/switchboard-xyz,https://aptscan.ai/accounts/0x7d7e436f0b2aafde60774efb26ccc432cf881b677aca7faaf2a01879bd19fb8#modules
Explorers,Aptos Explorer,https://explorer.aptoslabs.com/?network=mainnet,@AptosLabs,https://discord.com/invite/aptoslabs,https://github.com/aptos-labs/explorer,
Explorers,Aptscan.ai,https://aptscan.ai/,@aptscan_ai,https://discord.gg/SF5sGvEQSQ,,
Bridges,LayerZero/ Aptos Bridge,https://layerzero.network/,@LayerZero_Labs,,https://github.com/LayerZero-Labs/LayerZero-Aptos-Contract,https://aptscan.ai/accounts/0xf22bede237a07e121b56d91a491eb7bcdfd1f5907926a9e58338f964a01b17fa#modules
Bridges,Wormhole,https://wormhole.com/,@wormholecrypto,https://discord.gg/wormholecrypto,https://github.com/wormhole-foundation/wormhole,https://aptscan.ai/accounts/0x576410486a2da45eee6c949c995670112ddf2fbeedab20350d506328eefc9d4f#modules
Bridges,Celer,https://celer.network/,@CelerNetwork,https://discord.gg/Trhab5w,https://github.com/celer-network,https://aptscan.ai/accounts/0x8d87a65ba30e09357fa2edea2c80dbac296e5dec2b18287113500b902942929d#modules
Social,Chingari ,https://chingari.io/,@Chingari_IN,https://discord.gg/xH8JW75vqf,,https://aptscan.ai/accounts/0x8d2d7bcde13b2513617df3f98cdd5d0e4b9f714c6308b9204fe18ad900d92609#modules
Social,Townesquare,https://www.townesquare.xyz/,@TowneSquarexyz,https://discord.com/invite/yMRmqFzrDW,https://github.com/TowneSquare,
